"Name","TAID","Tax Rate"                                                        
"BLANCO","2016020",".0150000"                                                   
"ROUND MOUNTAIN","2016039",".0100000"                                           
"CLIFTON","2018019",".0150000"                                                  
"MERIDIAN","2018028",".0150000"                                                 
"VALLEY MILLS","2018037",".0100000"                                             
"WALNUT SPRINGS","2018046",".0100000"                                           
"IREDELL","2018055",".0100000"                                                  
"MORGAN","2018064",".0100000"                                                   
"CRANFILLS GAP","2018073",".0150000"                                            
"TEXARKANA","2019018",".0150000"                                                
"DE KALB","2019027",".0150000"                                                  
"MAUD","2019036",".0150000"                                                     
"NEW BOSTON","2019045",".0150000"                                               
"HOOKS","2019054",".0150000"                                                    
"NASH","2019063",".0150000"                                                     
"WAKE VILLAGE","2019072",".0150000"                                             
"REDWATER","2019081",".0150000"                                                 
"LEARY","2019090",".0100000"                                                    
"ALVIN","2020015",".0150000"                                                    
"PEARLAND","2020024",".0150000"                                                 
"LIVERPOOL","2020033",".0100000"                                                
"ANGLETON","2020042",".0150000"                                                 
"FREEPORT","2020051",".0150000"                                                 
"WEST COLUMBIA","2020060",".0150000"                                            
"DANBURY","2020079",".0150000"                                                  
"BROOKSIDE VILLAGE","2020088",".0150000"                                        
"LAKE JACKSON","2020097",".0150000"                                             
"CLUTE","2020104",".0150000"                                                    
"SWEENY","2020122",".0137500"                                                   
"BRAZORIA","2020131",".0150000"                                                 
"RICHWOOD","2020140",".0125000"                                                 
"OYSTER CREEK","2020159",".0150000"                                             
"SURFSIDE BEACH","2020168",".0150000"                                           
"JONES CREEK","2020177",".0100000"                                              
"MANVEL","2020186",".0150000"                                                   
"QUINTANA","2020195",".0100000"                                                 
"HOLIDAY LAKES","2020202",".0100000"                                            
"IOWA COLONY","2020211",".0100000"                                              
"BAILEYS PRAIRIE","2020220",".0100000"                                          
"SANDY POINT","2020257",".0150000"                                              
"BONNEY","2020266",".0150000"                                                   
"COLLEGE STATION","2021014",".0150000"                                          
"BRYAN","2021023",".0150000"                                                    
"WIXON VALLEY","2021032",".0150000"                                             
"KURTEN","2021041",".0100000"                                                   
"ALPINE","2022013",".0150000"                                                   
"QUITAQUE","2023012",".0200000"                                                 
"SILVERTON","2023021",".0175000"                                                
"FALFURRIAS","2024011",".0150000"                                               
"BROWNWOOD","2025010",".0150000"                                                
"BANGS","2025029",".0175000"                                                    
"EARLY","2025038",".0150000"                                                    
"BLANKET","2025047",".0100000"                                                  
"CALDWELL","2026019",".0150000"                                                 
"SOMERVILLE","2026028",".0150000"                                               
"SNOOK","2026037",".0150000"                                                    
"MARBLE FALLS","2027018",".0200000"                                             
"BURNET","2027027",".0200000"                                                   
"GRANITE SHOALS","2027036",".0200000"                                           
"BERTRAM","2027045",".0175000"                                                  
"COTTONWOOD SHORES","2027054",".0150000"                                        
"HORSESHOE BAY","2027072",".0200000"                                            
"HIGHLAND HAVEN","2027081",".0200000"                                           
"LOCKHART","2028017",".0150000"                                                 
"LULING","2028026",".0150000"                                                   
"MARTINDALE","2028035",".0125000"                                               
"SEADRIFT","2029016",".0150000"                                                 
"PORT LAVACA","2029025",".0150000"                                              
"POINT COMFORT","2029034",".0100000"                                            
"CLYDE","2030013",".0200000"                                                    
"BAIRD","2030022",".0200000"                                                    
"CROSS PLAINS","2030031",".0200000"                                             
"PUTNAM","2030040",".0100000"                                                   
"HARLINGEN","2031012",".0200000"                                                
"SAN BENITO","2031021",".0200000"                                               
"SANTA ROSA","2031030",".0175000"                                               
"LA FERIA","2031049",".0200000"                                                 
"PORT ISABEL","2031058",".0200000"                                              
"RIO HONDO","2031067",".0150000"                                                
"BROWNSVILLE","2031076",".0200000"                                              
"LOS FRESNOS","2031085",".0200000"                                              
"COMBES","2031094",".0175000"                                                   
"SOUTH PADRE ISLAND","2031101",".0200000"                                       
"LAGUNA VISTA","2031110",".0150000"                                             
"PRIMERA","2031129",".0200000"                                                  
"RANCHO VIEJO","2031138",".0100000"                                             
"PALM VALLEY","2031147",".0200000"                                              
"LOS INDIOS","2031174",".0175000"                                               
"BAYVIEW","2031183",".0100000"                                                  
"PITTSBURG","2032011",".0150000"                                                
"ROCKY MOUND","2032020",".0100000"                                              
"PANHANDLE","2033010",".0200000"                                                
"WHITE DEER","2033029",".0200000"                                               
"GROOM","2033038",".0200000"                                                    
"SKELLYTOWN","2033047",".0200000"                                               
"HUGHES SPRINGS","2034019",".0150000"                                           
"ATLANTA","2034028",".0200000"                                                  
"LINDEN","2034037",".0200000"                                                   
"AVINGER","2034046",".0200000"                                                  
"DOMINO","2034055",".0200000"                                                   
"QUEEN CITY","2034064",".0175000"                                               
"BLOOMBURG","2034073",".0100000"                                                
"DOUGLASSVILLE","2034082",".0025000"                                            
"DIMMITT","2035018",".0150000"                                                  
"HART","2035027",".0150000"                                                     
"NAZARETH","2035036",".0150000"                                                 
"ANAHUAC","2036017",".0100000"                                                  
"BEACH CITY","2036026",".0150000"                                               
"OLD RIVER WINFREE","2036044",".0150000"                                        
"MONT BELVIEU","2036053",".0150000"                                             
"COVE","2036062",".0100000"                                                     
"ALTO","2037016",".0150000"                                                     
"JACKSONVILLE","2037025",".0150000"                                             
"RUSK","2037034",".0150000"                                                     
"WELLS","2037043",".0100000"                                                    
"NEW SUMMERFIELD","2037052",".0150000"                                          
"CUNEY","2037061",".0150000"                                                    
"CHILDRESS","2038015",".0100000"                                                
"HENRIETTA","2039014",".0200000"                                                
"BYERS","2039023",".0100000"                                                    
"PETROLIA","2039032",".0100000"                                                 
"JOLLY","2039041",".0100000"                                                    
"BELLEVUE","2039050",".0200000"                                                 
"DEAN","2039069",".0100000"                                                     
"WHITEFACE","2040011",".0150000"                                                
"MORTON","2040020",".0150000"                                                   
"ROBERT LEE","2041010",".0200000"                                               
"BRONTE","2041029",".0200000"                                                   
"SANTA ANNA","2042019",".0200000"                                               
"COLEMAN","2042028",".0200000"                                                  
"NOVICE","2042046",".0200000"                                                   
"PLANO","2043018",".0100000"                                                    
"FAIRVIEW","2043027",".0200000"                                                 
"FRISCO","2043036",".0200000"                                                   
"MCKINNEY","2043045",".0200000"                                                 
"FARMERSVILLE","2043054",".0200000"                                             
"BLUE RIDGE","2043063",".0200000"                                               
"ALLEN","2043072",".0200000"                                                    
"PRINCETON","2043081",".0200000"                                                
"CELINA","2043090",".0200000"                                                   
"JOSEPHINE","2043107",".0150000"                                                
"WYLIE","2043116",".0200000"                                                    
"PROSPER","2043125",".0150000"                                                  
"ANNA","2043134",".0200000"                                                     
"LUCAS","2043143",".0150000"                                                    
"MURPHY","2043161",".0175000"                                                   
"MELISSA","2043170",".0150000"                                                  
"WESTON","2043189",".0100000"                                                   
"LOWRY CROSSING","2043214",".0150000"                                           
"PARKER","2043223",".0200000"                                                   
"SAINT PAUL","2043232",".0200000"                                               
"NEW HOPE","2043241",".0100000"                                                 
"NEVADA","2043250",".0200000"                                                   
"LAVON","2043269",".0200000"                                                    
"WELLINGTON","2044017",".0200000"                                               
"COLUMBUS","2045016",".0150000"                                                 
"WEIMAR","2045025",".0150000"                                                   
"EAGLE LAKE","2045034",".0100000"                                               
"NEW BRAUNFELS","2046015",".0150000"                                            
"GARDEN RIDGE","2046024",".0100000"                                             
"BULVERDE","2046042",".0100000"                                                 
"DE LEON","2047014",".0150000"                                                  
"COMANCHE","2047023",".0150000"                                                 
"GUSTINE","2047032",".0100000"                                                  
"EDEN","2048013",".0150000"                                                     
"PAINT ROCK","2048022",".0100000"                                               
"GAINESVILLE","2049012",".0150000"                                              
"MUENSTER","2049021",".0150000"                                                 
"LINDSAY","2049030",".0150000"                                                  
"VALLEY VIEW","2049049",".0150000"                                              
"OAK RIDGE","2049067",".0150000"                                                
"CALLISBURG","2049076",".0150000"                                               
"COPPERAS COVE","2050018",".0150000"                                            
"GATESVILLE","2050027",".0150000"                                               
"OGLESBY","2050036",".0100000"                                                  
"PADUCAH","2051017",".0175000"                                                  
"CRANE","2052016",".0150000"                                                    
"CROSBYTON","2054014",".0150000"                                                
"LORENZO","2054023",".0100000"                                                  
"RALLS","2054032",".0150000"                                                    
"VAN HORN","2055013",".0175000"                                                 
"DALHART","2056012",".0200000"                                                  
"TEXLINE","2056021",".0100000"                                                  
"DALLAS","2057011",".0100000"                                                   
"LANCASTER","2057020",".0200000"                                                
"MESQUITE","2057039",".0200000"                                                 
"RICHARDSON","2057048",".0100000"                                               
"COCKRELL HILL","2057057",".0100000"                                            
"IRVING","2057066",".0100000"                                                   
"UNIVERSITY PARK","2057075",".0100000"                                          
"DUNCANVILLE","2057084",".0200000"                                              
"HUTCHINS","2057093",".0200000"                                                 
"FARMERS BRANCH","2057100",".0100000"                                           
"BALCH SPRINGS","2057119",".0200000"                                            
"CARROLLTON","2057128",".0100000"                                               
"CEDAR HILL","2057137",".0187500"                                               
"HIGHLAND PARK","2057146",".0100000"                                            
"WILMER","2057164",".0200000"                                                   
"GARLAND","2057173",".0100000"                                                  
"DE SOTO","2057182",".0200000"                                                  
"SACHSE","2057191",".0175000"                                                   
"SEAGOVILLE","2057208",".0200000"                                               
"ADDISON","2057217",".0100000"                                                  
"ROWLETT","2057235",".0100000"                                                  
"SUNNYVALE","2057244",".0200000"                                                
"GLENN HEIGHTS","2057253",".0100000"                                            
"COPPELL","2057262",".0175000"                                                  
"LAMESA","2058010",".0150000"                                                   
"LOS YBANEZ","2058029",".0100000"                                               
"HEREFORD","2059019",".0150000"                                                 
"COOPER","2060016",".0100000"                                                   
"PECAN GAP","2060025",".0100000"                                                
"LAKE DALLAS","2061015",".0200000"                                              
"DENTON","2061024",".0150000"                                                   
"LEWISVILLE","2061033",".0125000"                                               
"PILOT POINT","2061042",".0150000"                                              
"AUBREY","2061051",".0150000"                                                   
"JUSTIN","2061060",".0200000"                                                   
"SANGER","2061079",".0200000"                                                   
"LITTLE ELM","2061088",".0200000"                                               
"ARGYLE","2061104",".0150000"                                                   
"CORINTH","2061122",".0150000"                                                  
"ROANOKE","2061131",".0150000"                                                  
"KRUM","2061140",".0175000"                                                     
"KRUGERVILLE","2061159",".0200000"                                              
"SHADY SHORES","2061168",".0200000"                                             
"FLOWER MOUND","2061177",".0150000"                                             
"HICKORY CREEK","2061186",".0200000"                                            
"THE COLONY","2061195",".0200000"                                               
"BARTONVILLE","2061211",".0175000"                                              
"HIGHLAND VILLAGE","2061220",".0150000"                                         
"PONDER","2061239",".0175000"                                                   
"DOUBLE OAK","2061248",".0200000"                                               
"HACKBERRY","2061257",".0100000"                                                
"TROPHY CLUB","2061266",".0175000"                                              
"COPPER CANYON","2061275",".0100000"                                            
"CROSS ROADS","2061284",".0175000"                                              
"CORRAL CITY","2061293",".0150000"                                              
"NORTHLAKE","2061319",".0200000"                                                
"OAK POINT","2061328",".0175000"                                                
"HEBRON","2061337",".0050000"                                                   
"LAKEWOOD VILLAGE","2061346",".0150000"                                         
"PROVIDENCE VILLAGE","2061355",".0200000"                                       
"DISH","2061364",".0200000"                                                     
"YORKTOWN","2062014",".0200000"                                                 
"NORDHEIM","2062023",".0100000"                                                 
"CUERO","2062032",".0200000"                                                    
"SPUR","2063013",".0150000"                                                     
"DICKENS","2063022",".0150000"                                                  
"CARRIZO SPRINGS","2064012",".0150000"                                          
"BIG WELLS","2064021",".0100000"                                                
"ASHERTON","2064030",".0100000"                                                 
"CLARENDON","2065011",".0200000"                                                
"HEDLEY","2065020",".0100000"                                                   
"HOWARDWICK","2065039",".0100000"                                               
"FREER","2066010",".0175000"                                                    
"SAN DIEGO","2066029",".0150000"                                                
"BENAVIDES","2066038",".0200000"                                                
"CISCO","2067019",".0200000"                                                    
"RANGER","2067028",".0200000"                                                   
"GORMAN","2067037",".0200000"                                                   
"EASTLAND","2067046",".0150000"                                                 
"RISING STAR","2067055",".0175000"                                              
"CARBON","2067064",".0100000"                                                   
"ODESSA","2068018",".0125000"                                                   
"GOLDSMITH","2068027",".0100000"                                                
"ROCKSPRINGS","2069017",".0175000"                                              
"WAXAHACHIE","2070014",".0200000"                                               
"FERRIS","2070023",".0200000"                                                   
"ENNIS","2070032",".0175000"                                                    
"MIDLOTHIAN","2070050",".0200000"                                               
"PALMER","2070069",".0200000"                                                   
"RED OAK","2070078",".0200000"                                                  
"MAYPEARL","2070087",".0200000"                                                 
"ITALY","2070096",".0200000"                                                    
"OVILLA","2070103",".0175000"                                                   
"ALMA","2070112",".0200000"                                                     
"MILFORD","2070121",".0100000"                                                  
"GARRETT","2070130",".0200000"                                                  
"BARDWELL","2070149",".0100000"                                                 
"OAK LEAF","2070158",".0175000"                                                 
"PECAN HILL","2070167",".0100000"                                               
"EL PASO","2071013",".0100000"                                                  
"ANTHONY","2071022",".0100000"                                                  
"CLINT","2071031",".0100000"                                                    
"SOCORRO","2071059",".0100000"                                                  
"HORIZON CITY","2071068",".0150000"                                             
"VINTON","2071077",".0100000"                                                   
"SAN ELIZARIO","2071086",".0100000"                                             
"DUBLIN","2072012",".0150000"                                                   
"STEPHENVILLE","2072021",".0150000"                                             
"MARLIN","2073011",".0150000"                                                   
"LOTT","2073020",".0150000"                                                     
"ROSEBUD","2073039",".0150000"                                                  
"GOLINDA","2073048",".0150000"                                                  
"TRENTON","2074010",".0150000"                                                  
"HONEY GROVE","2074029",".0150000"                                              
"BONHAM","2074038",".0150000"                                                   
"LEONARD","2074047",".0150000"                                                  
"LADONIA","2074056",".0100000"                                                  
"WINDOM","2074065",".0100000"                                                   
"ECTOR","2074074",".0100000"                                                    
"SAVOY","2074083",".0150000"                                                    
"DODD CITY","2074092",".0100000"                                                
"BAILEY","2074109",".0100000"                                                   
"RAVENNA","2074118",".0100000"                                                  
"LA GRANGE","2075019",".0150000"                                                
"SCHULENBURG","2075028",".0150000"                                              
"FAYETTEVILLE","2075037",".0150000"                                             
"FLATONIA","2075046",".0150000"                                                 
"CARMINE","2075055",".0150000"                                                  
"ROUND TOP","2075064",".0150000"                                                
"ELLINGER","2075073",".0100000"                                                 
"ROTAN","2076018",".0200000"                                                    
"ROBY","2076027",".0100000"                                                     
"LOCKNEY","2077017",".0150000"                                                  
"FLOYDADA","2077026",".0175000"                                                 
"CROWELL","2078016",".0175000"                                                  
"ROSENBERG","2079015",".0200000"                                                
"NEEDVILLE","2079024",".0200000"                                                
"STAFFORD","2079033",".0200000"                                                 
"RICHMOND","2079042",".0200000"                                                 
"SUGAR LAND","2079051",".0200000"                                               
"BEASLEY","2079060",".0200000"                                                  
"MISSOURI CITY","2079079",".0100000"                                            
"KENDLETON","2079088",".0150000"                                                
"ORCHARD","2079097",".0200000"                                                  
"FULSHEAR","2079104",".0200000"                                                 
"THOMPSONS","2079113",".0100000"                                                
"SIMONTON","2079122",".0200000"                                                 
"ARCOLA","2079131",".0200000"                                                   
"PLEAK","2079140",".0200000"                                                    
"MEADOWS PLACE","2079168",".0200000"                                            
"FAIRCHILDS","2079195",".0100000"                                               
"MOUNT VERNON","2080012",".0150000"                                             
"FAIRFIELD","2081011",".0200000"                                                
"TEAGUE","2081020",".0200000"                                                   
"WORTHAM","2081039",".0200000"                                                  
"STREETMAN","2081048",".0150000"                                                
"DILLEY","2082010",".0150000"                                                   
"PEARSALL","2082029",".0150000"                                                 
"SEMINOLE","2083019",".0200000"                                                 
"SEAGRAVES","2083028",".0200000"                                                
"GALVESTON","2084018",".0200000"                                                
"KEMAH","2084027",".0200000"                                                    
"HITCHCOCK","2084036",".0200000"                                                
"LA MARQUE","2084045",".0200000"                                                
"FRIENDSWOOD","2084054",".0200000"                                              
"LEAGUE CITY","2084063",".0200000"                                              
"CLEAR LAKE SHORES","2084081",".0200000"                                        
"TEXAS CITY","2084090",".0200000"                                               
"JAMAICA BEACH","2084107",".0200000"                                            
"SANTA FE","2084116",".0200000"                                                 
"DICKINSON","2084125",".0150000"                                                
"TIKI ISLAND","2084189",".0100000"                                              
"BAYOU VISTA","2084205",".0175000"                                              
"POST","2085017",".0200000"                                                     
"FREDERICKSBURG","2086016",".0150000"                                           
"GOLIAD","2088014",".0200000"                                                   
"NIXON","2089013",".0150000"                                                    
"GONZALES","2089022",".0150000"                                                 
"SMILEY","2089031",".0100000"                                                   
"WAELDER","2089040",".0150000"                                                  
"PAMPA","2090010",".0200000"                                                    
"MCLEAN","2090029",".0200000"                                                   
"LEFORS","2090038",".0100000"                                                   
"DENISON","2091019",".0200000"                                                  
"SHERMAN","2091028",".0200000"                                                  
"VAN ALSTYNE","2091037",".0200000"                                              
"WHITEWRIGHT","2091046",".0200000"                                              
"HOWE","2091055",".0200000"                                                     
"BELLS","2091064",".0200000"                                                    
"GUNTER","2091073",".0150000"                                                   
"WHITESBORO","2091082",".0200000"                                               
"COLLINSVILLE","2091091",".0200000"                                             
"TOM BEAN","2091108",".0200000"                                                 
"POTTSBORO","2091117",".0200000"                                                
"TIOGA","2091126",".0200000"                                                    
"SOUTHMAYD","2091144",".0200000"                                                
"SADLER","2091153",".0100000"                                                   
"KNOLLWOOD","2091162",".0200000"                                                
"DORCHESTER","2091171",".0100000"                                               
"LONGVIEW","2092018",".0150000"                                                 
"KILGORE","2092027",".0150000"                                                  
"GLADEWATER","2092036",".0150000"                                               
"CLARKSVILLE CITY","2092045",".0100000"                                         
"WHITE OAK","2092054",".0150000"                                                
"LAKEPORT","2092072",".0150000"                                                 
"WARREN CITY","2092081",".0100000"                                              
"EASTON","2092090",".0100000"                                                   
"NAVASOTA","2093017",".0150000"                                                 
"TODD MISSION","2093026",".0150000"                                             
"ANDERSON","2093035",".0125000"                                                 
"BEDIAS","2093044",".0125000"                                                   
"IOLA","2093053",".0125000"                                                     
"PLANTERSVILLE","2093062",".0150000"                                            
"SEGUIN","2094016",".0150000"                                                   
"SCHERTZ","2094025",".0150000"                                                  
"CIBOLO","2094034",".0150000"                                                   
"MARION","2094043",".0150000"                                                   
"NEW BERLIN","2094052",".0150000"                                               
"SANTA CLARA","2094098",".0100000"                                              
"STAPLES","2094105",".0100000"                                                  
"KINGSBURY","2094114",".0150000"                                                
"PLAINVIEW","2095015",".0150000"                                                
"ABERNATHY","2095024",".0150000"                                                
"HALE CENTER","2095033",".0150000"                                              
"PETERSBURG","2095042",".0150000"                                               
"EDMONSON","2095051",".0100000"                                                 
"MEMPHIS","2096014",".0200000"                                                  
"ESTELLINE","2096023",".0100000"                                                
"LAKEVIEW","2096032",".0100000"                                                 
"TURKEY","2096041",".0200000"                                                   
"HAMILTON","2097013",".0150000"                                                 
"HICO","2097022",".0150000"                                                     
"EVANT","2097031",".0125000"                                                    
"SPEARMAN","2098012",".0200000"                                                 
"GRUVER","2098021",".0200000"                                                   
"QUANAH","2099011",".0150000"                                                   
"CHILLICOTHE","2099020",".0125000"                                              
"SILSBEE","2100018",".0200000"                                                  
"KOUNTZE","2100027",".0200000"                                                  
"SOUR LAKE","2100036",".0200000"                                                
"LUMBERTON","2100045",".0200000"                                                
"HOUSTON","2101017",".0100000"                                                  
"BELLAIRE","2101026",".0100000"                                                 
"PASADENA","2101035",".0150000"                                                 
"WEST UNIVERSITY PLACE","2101044",".0100000"                                    
"KATY","2101053",".0100000"                                                     
"SOUTHSIDE PLACE","2101062",".0100000"                                          
"SPRING VALLEY","2101071",".0100000"                                            
"HILSHIRE VILLAGE","2101080",".0100000"                                         
"LA PORTE","2101099",".0175000"                                                 
"TOMBALL","2101106",".0200000"                                                  
"GALENA PARK","2101115",".0100000"                                              
"WEBSTER","2101124",".0200000"                                                  
"JERSEY VILLAGE","2101133",".0100000"                                           
"HEDWIG VILLAGE","2101142",".0100000"                                           
"BAYTOWN","2101151",".0125000"                                                  
"JACINTO CITY","2101160",".0200000"                                             
"HUNTERS CREEK VILLAGE","2101179",".0100000"                                    
"SOUTH HOUSTON","2101188",".0175000"                                            
"SEABROOK","2101197",".0150000"                                                 
"NASSAU BAY","2101204",".0175000"                                               
"EL LAGO","2101213",".0100000"                                                  
"HUMBLE","2101222",".0100000"                                                   
"MORGANS POINT","2101231",".0150000"                                            
"SHOREACRES","2101259",".0200000"                                               
"DEER PARK","2101268",".0150000"                                                
"TAYLOR LAKE VILLAGE","2101277",".0100000"                                      
"BUNKER HILL VILLAGE","2101286",".0100000"                                      
"PINEY POINT VILLAGE","2101295",".0100000"                                      
"MARSHALL","2102016",".0200000"                                                 
"WASKOM","2102025",".0200000"                                                   
"HALLSVILLE","2102034",".0200000"                                               
"SCOTTSVILLE","2102043",".0100000"                                              
"UNCERTAIN","2102052",".0200000"                                                
"CHANNING","2103015",".0100000"                                                 
"HASKELL","2104014",".0200000"                                                  
"WEINERT","2104023",".0100000"                                                  
"ROCHESTER","2104032",".0100000"                                                
"RULE","2104041",".0200000"                                                     
"O BRIEN","2104050",".0100000"                                                  
"KYLE","2105013",".0150000"                                                     
"SAN MARCOS","2105022",".0150000"                                               
"BUDA","2105031",".0150000"                                                     
"DRIPPING SPRINGS","2105040",".0125000"                                         
"WOODCREEK","2105059",".0100000"                                                
"UHLAND","2105068",".0150000"                                                   
"NIEDERWALD","2105077",".0100000"                                               
"HAYS","2105086",".0100000"                                                     
"WIMBERLEY","2105095",".0100000"                                                
"MOUNTAIN CITY","2105102",".0100000"                                            
"CANADIAN","2106012",".0200000"                                                 
"ATHENS","2107011",".0200000"                                                   
"MALAKOFF","2107020",".0162500"                                                 
"TRINIDAD","2107039",".0175000"                                                 
"SEVEN POINTS","2107048",".0200000"                                             
"GUN BARREL CITY","2107057",".0200000"                                          
"CANEY CITY","2107066",".0200000"                                               
"EUSTACE","2107075",".0100000"                                                  
"TOOL","2107084",".0200000"                                                     
"BROWNSBORO","2107093",".0200000"                                               
"CHANDLER","2107100",".0200000"                                                 
"MURCHISON","2107119",".0200000"                                                
"BERRYVILLE","2107128",".0100000"                                               
"POYNOR","2107137",".0100000"                                                   
"COFFEE CITY","2107146",".0150000"                                              
"PAYNE SPRINGS","2107155",".0200000"                                            
"LOG CABIN","2107164",".0200000"                                                
"EDINBURG","2108010",".0200000"                                                 
"WESLACO","2108029",".0200000"                                                  
"MERCEDES","2108038",".0200000"                                                 
"DONNA","2108047",".0200000"                                                    
"MCALLEN","2108056",".0200000"                                                  
"MISSION","2108065",".0200000"                                                  
"ELSA","2108074",".0150000"                                                     
"HIDALGO","2108083",".0200000"                                                  
"ALAMO","2108092",".0200000"                                                    
"SAN JUAN","2108109",".0200000"                                                 
"LA VILLA","2108118",".0200000"                                                 
"PHARR","2108127",".0200000"                                                    
"EDCOUCH","2108136",".0200000"                                                  
"LA JOYA","2108145",".0200000"                                                  
"PROGRESO LAKES","2108154",".0150000"                                           
"PALMVIEW","2108163",".0150000"                                                 
"ALTON","2108172",".0200000"                                                    
"PROGRESO","2108181",".0200000"                                                 
"PENITAS","2108190",".0150000"                                                  
"GRANJENO","2108207",".0100000"                                                 
"SULLIVAN CITY","2108216",".0100000"                                            
"PALMHURST","2108225",".0150000"                                                
"HILLSBORO","2109019",".0150000"                                                
"WHITNEY","2109028",".0150000"                                                  
"MALONE","2109037",".0100000"                                                   
"ITASCA","2109046",".0150000"                                                   
"HUBBARD","2109055",".0150000"                                                  
"ABBOTT","2109064",".0150000"                                                   
"BYNUM","2109073",".0100000"                                                    
"BLUM","2109082",".0100000"                                                     
"PENELOPE","2109091",".0100000"                                                 
"AQUILLA","2109108",".0100000"                                                  
"MERTENS","2109117",".0100000"                                                  
"COVINGTON","2109126",".0100000"                                                
"CARLS CORNER","2109135",".0150000"                                             
"MOUNT CALM","2109144",".0100000"                                               
"LEVELLAND","2110016",".0200000"                                                
"ANTON","2110025",".0200000"                                                    
"ROPESVILLE","2110034",".0200000"                                               
"SUNDOWN","2110043",".0200000"                                                  
"OPDYKE WEST","2110052",".0100000"                                              
"SMYER","2110061",".0200000"                                                    
"GRANBURY","2111015",".0150000"                                                 
"LIPAN","2111024",".0100000"                                                    
"TOLAR","2111033",".0150000"                                                    
"CRESSON","2111042",".0150000"                                                  
"SULPHUR SPRINGS","2112014",".0150000"                                          
"CUMBY","2112023",".0125000"                                                    
"COMO","2112032",".0100000"                                                     
"CROCKETT","2113013",".0150000"                                                 
"GRAPELAND","2113022",".0100000"                                                
"KENNARD","2113031",".0100000"                                                  
"LOVELADY","2113040",".0125000"                                                 
"LATEXO","2113059",".0100000"                                                   
"BIG SPRING","2114012",".0200000"                                               
"COAHOMA","2114021",".0150000"                                                  
"FORSAN","2114030",".0100000"                                                   
"DELL CITY","2115011",".0100000"                                                
